Score, Time, FirstTargetPosX, FirstTargetPosY
20,0,10,10
110,0.1671448,10,10
187,0.3395082,10,10
282,0.5792159,10,10
336,0.6639116,10,10
427,0.7836735,10,10
469,0.8674465,10,10
551,1.110012,10,10
591,1.198716,10,10
642,1.287029,10,10
731,1.555683,10,10
807,1.743,10,10
887,1.830532,10,10
980,2.022934,10,10
1072,2.14365,10,10
1170,2.413444,10,10
1236,2.534796,10,10
1275,2.619203,10,10
1322,2.806208,10,10
1391,3.075698,10,10
1451,3.161259,10,10
1522,3.283584,10,10
1574,3.473625,10,10
1607,3.560967,10,10
1675,3.935408,10,10
1738,4.019279,10,10
1811,4.105943,10,10
1908,4.298917,10,10
1939,4.384511,10,10
1992,4.505353,10,10
2028,4.589414,10,10
2090,4.760796,10,10
2186,4.952678,10,10
2235,5.194191,10,10
2263,5.31487,10,10
2306,5.571887,10,10
2367,6.159262,10,10
2413,6.24425,10,10
2463,6.837167,10,10
2495,6.955455,10,10
2567,7.384408,10,10
2637,7.572543,10,10
2724,7.691183,10,10
2818,8.121543,10,10
2882,8.215063,10,10
2937,8.334569,10,10
3015,8.52233,10,10
3103,8.825881,10,10
3189,8.909507,10,10
3268,8.99319,10,10
3368,9.184965,10,10
3405,9.272491,10,10
3504,9.573982,10,10
3569,9.660237,10,10
3653,9.901746,10,10
