Score, Time, FirstTargetPosX, FirstTargetPosY
20,0,10,10
94,0.2417283,10,10
179,0.5484798,10,10
237,0.8565683,10,10
304,0.9509616,10,10
361,1.201867,10,10
420,1.473968,10,10
468,1.59878,10,10
560,1.8562,10,10
653,1.97533,10,10
700,2.097517,10,10
766,2.34953,10,10
805,2.438389,10,10
903,2.524391,10,10
972,2.858105,10,10
1032,2.94804,10,10
1103,3.070042,10,10
1192,3.405056,10,10
1272,3.642669,10,10
1348,3.736835,10,10
1400,3.90973,10,10
1433,3.998242,10,10
1515,4.122143,10,10
1555,4.209571,10,10
1606,4.294639,10,10
1648,4.467922,10,10
1739,4.551933,10,10
1793,4.682713,10,10
1870,4.869585,10,10
1960,5.044023,10,10
1983,5.301908,10,10
2010,5.475967,10,10
2094,5.601116,10,10
2173,5.770409,10,10
2259,5.856441,10,10
2263,5.94793,10,10
2351,6.075984,10,10
2451,6.265177,10,10
2550,6.505989,10,10
2615,6.591145,10,10
2636,7.010969,10,10
2714,7.178523,10,10
2808,7.351441,10,10
2872,7.440024,10,10
2927,7.557943,10,10
3014,7.862343,10,10
3084,7.987753,10,10
3159,8.232739,10,10
3254,8.500438,10,10
3266,8.626362,10,10
3316,8.712459,10,10
3413,8.884221,10,10
3444,8.977387,10,10
3480,9.064337,10,10
3553,9.257669,10,10
3616,9.341116,10,10
3684,9.426258,10,10
3712,9.551296,10,10
3761,9.678727,10,10
3857,9.919104,10,10
